from,to,ref,value,quality,parameter_id,station_id,date
1704412801000.0,1704499200000.0,2024-01-05,-10.5,Y,2,97200,
1704499201000.0,1704585600000.0,2024-01-06,-11.9,Y,2,97200,
1704585601000.0,1704672000000.0,2024-01-07,-14.5,Y,2,97200,
1704672001000.0,1704758400000.0,2024-01-08,-9.8,Y,2,97200,
1704758401000.0,1704844800000.0,2024-01-09,-1.7,Y,2,97200,
1704844801000.0,1704931200000.0,2024-01-10,-0.8,Y,2,97200,
1704931201000.0,1705017600000.0,2024-01-11,1.0,Y,2,97200,
1705017601000.0,1705104000000.0,2024-01-12,1.9,Y,2,97200,
1705104001000.0,1705190400000.0,2024-01-13,-0.3,Y,2,97200,
1705190401000.0,1705276800000.0,2024-01-14,-1.8,Y,2,97200,
1705276801000.0,1705363200000.0,2024-01-15,-6.3,Y,2,97200,
1705363201000.0,1705449600000.0,2024-01-16,-13.5,Y,2,97200,
1705449601000.0,1705536000000.0,2024-01-17,-2.4,Y,2,97200,
1705536001000.0,1705622400000.0,2024-01-18,-5.8,Y,2,97200,
1705622401000.0,1705708800000.0,2024-01-19,-14.5,Y,2,97200,
1705708801000.0,1705795200000.0,2024-01-20,-10.7,Y,2,97200,
1705795201000.0,1705881600000.0,2024-01-21,-0.2,Y,2,97200,
1705881601000.0,1705968000000.0,2024-01-22,3.9,Y,2,97200,
1705968001000.0,1706054400000.0,2024-01-23,5.1,Y,2,97200,
1706054401000.0,1706140800000.0,2024-01-24,1.6,Y,2,97200,
1706140801000.0,1706227200000.0,2024-01-25,-0.3,Y,2,97200,
1706227201000.0,1706313600000.0,2024-01-26,-1.3,Y,2,97200,
1706313601000.0,1706400000000.0,2024-01-27,0.6,Y,2,97200,
1706400001000.0,1706486400000.0,2024-01-28,4.3,Y,2,97200,
1706486401000.0,1706572800000.0,2024-01-29,4.1,Y,2,97200,
1706572801000.0,1706659200000.0,2024-01-30,2.0,Y,2,97200,
1706659201000.0,1706745600000.0,2024-01-31,3.6,Y,2,97200,
1706745601000.0,1706832000000.0,2024-02-01,3.0,Y,2,97200,
1706832001000.0,1706918400000.0,2024-02-02,1.2,Y,2,97200,
1706918401000.0,1707004800000.0,2024-02-03,6.1,Y,2,97200,
1707004801000.0,1707091200000.0,2024-02-04,1.8,Y,2,97200,
